Status v2,File update Date,Customer Code,Account Name,Renewal Year,Renewal Date,ACV ($CAD),CY Contract Stage,CZ Churn Risk,Region,Cloud/On-Prem,Product Detail,Entity Code,Country,Pod,CSM
Upcoming,31-Jul-25,C-000037,API Heat Transfer Inc.,2027,8/15/2027,100306,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-000039,Unified Women's Healthcare LP,2027,8/1/2027,493400,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zane Robinson
Upcoming,31-Jul-25,C-000047,Port of Tacoma,2027,4/3/2027,87431,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-000065,Ferno - Washington Inc.,2027,12/1/2027,70761,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000093,Goodwill Industries of SEW,2027,5/1/2027,122791,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-000127,"One Call Concepts, Inc.",2027,10/1/2027,7497,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-000153,Structural Group Inc,2027,12/1/2027,101369,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-000285,"Saint-Gobain Abrasives, Inc.",2027,1/1/2027,225506,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zane Robinson
Upcoming,31-Jul-25,C-000341,Wastequip,2027,3/1/2027,140780,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000349,"Sun Communities, Inc.",2027,2/1/2027,71432,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-000425,"Prairie Meadows Racetrack and Casino, Inc.",2027,4/12/2027,92835,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000452,Catholic Charities of the Archdiocese of Washington,2027,11/1/2027,159450,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Hala Issa
Upcoming,31-Jul-25,C-000480,Advanced Bionics Corporation,2027,9/11/2027,87732,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000492,"Turning Stone Enterprises, LLC",2027,3/22/2027,137765,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-000514,"Furmano Foods, Inc.",2027,9/15/2027,79920,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000659,"Skanska USA, Inc.",2027,3/31/2027,333332,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Matthew Koronkiewicz
Upcoming,31-Jul-25,C-000662,"Th Foods, Inc.",2027,1/9/2027,74143,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-000667,Ohio Farmers Insurance Company,2027,4/10/2027,222739,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
